"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC108004185",2.218,2.253,4.167,0.504,0.76,0.677,1.092,0.858,1.268,1.034,0.186,0.767,0.697,1.547,1.314
"LOC107999745",0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.612
"Trnar-ccu_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107996657",1.912,0.243,0.17,0.152,0.491,0,0.412,0.287,1.029,0.13,0.562,0.231,1.577,0.622,0.991
"LOC107994612",18.098,9.839,9.784,88.292,89.639,81.725,51.812,57.802,58.825,62.543,77.597,76.654,69.669,70.698,78.89
"LOC114577840",133.341,155.568,144.061,912.557,962.094,894.643,694.743,751.612,665.837,1022.627,859.29,847.524,1069.332,1038.772,887.167
"LOC107996996",3.119,5.148,3.741,1.365,2.94,1.944,2.91,2.814,2.519,0.636,0.802,0.661,2.68,1.523,3.335
"LOC107994535",193.157,207.174,204.619,18.487,16.991,14.884,42.696,48.879,41.184,28.703,28.3,25.977,25.704,24.321,24.597
"LOC108000729",102.434,99.526,103.364,62.509,58.802,57.806,47.586,34.009,39.443,33.921,35.277,39.57,36.631,37.19,35.736
"LOC107998573",43.967,40.777,42.461,49.295,55.364,52.095,36.495,48.867,52.35,48.619,44.375,32.631,24.704,27.38,27.004
"LOC108001778",9.632,12.393,11.411,11.039,9.244,15.098,29.128,20.857,30.824,24.804,37.361,27.675,33.548,25.085,28.629
"LOC108000070",227.474,200.037,197.68,212.648,203.042,201.583,170.533,248.987,214.679,249.254,210.914,206.489,162.225,151.238,150.842
"LOC107996009",9.653,8.131,9.259,16.589,13.61,15.655,12.526,11.47,13.039,12.851,13.328,12.047,19.852,17.116,18.144
"LOC114577852",0,1.222,1.71,0,0.825,0.857,0.691,1.447,8.143,3.927,4.949,2.913,1.323,6.265,1.871
"LOC107997121",0.296,0.3,1.051,2.824,3.446,4.213,3.395,2.134,2.729,3.7,3.996,5.441,4.39,4.62,4.292
"LOC108000411",0.538,0.729,0.127,26.943,24.951,21.206,22.856,24.482,30.455,26.63,24.868,27.264,20.806,21.246,21.937
"LOC107996499",277.724,287.886,269.582,149.658,133.219,148.13,136.719,141.772,141.415,120.967,121.798,114.775,77.267,82.499,78.624
"LOC107993833",0,0,0,4.135,2.698,3.785,0,0.829,1.211,0,0,0.095,2.164,2.178,3.264
"LOC107996513",0,0,0.467,0,0.36,0.094,0.302,0.237,0.243,0.429,0.154,0.445,0.723,0.342,0.204
"LOC114578147",0.199,0,0,0.169,0.182,0.33,0.038,0,0.163,0,0.195,0.032,0,0.259,0.069
"LOC108001886",3.439,6.986,5.587,150.769,139.419,142.456,136.526,144.495,124.558,198.044,204.406,176.281,159.667,140.731,138.035
"LOC107995038",0,0,1.363,41.996,33.647,31.966,69.357,75.884,77.167,65.715,61.072,72.42,28.68,30.459,27.235
"LOC114577970",0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0
"LOC107994716",298.984,305.644,316.279,1619.546,1641.793,1661.443,2928.65,3283.025,3295.009,4185.01,4200.837,3901.077,3329.414,3187.527,3126.338
"LOC107994474",4.662,3.5,5.475,17.164,20.98,25.127,13.034,16.946,14.968,22.164,21.56,19.63,15.605,15.967,17.337
"LOC107995110",0,0.193,0.135,7.875,5.087,6.914,11.253,8.698,8.782,20.29,20.352,23.865,30.241,33.077,36.498
"LOC107992651",0.633,0.9,0.72,0,0,0.18,0.509,0.228,0,0.275,0.372,0.674,0,0,0
"LOC107994395",32.134,32.078,24.81,1502.064,1529.4,1379.199,1175.12,1417.283,1292.203,1969.422,1786.534,1454.395,1196.478,1227.127,1229.568
"LOC108001902",1.693,3.194,0.688,7.547,7.462,5.515,41.532,28.956,33.496,11.713,9.241,14.643,3.459,3.78,5.142
"LOC107994921",107.29,123.672,118.37,153.556,145.174,159.861,85.174,81.929,82.389,51.517,44.685,45.404,27.962,28.852,29.744
"LOC114577625",2.735,3.087,1.512,0.58,0.625,0.433,0.698,0.548,0,0,0.179,0,0.167,0,0
"LOC107995073",41.73,37.716,47.178,64.857,70.952,57.59,71.882,101.784,89.781,140.327,103.696,94.356,80.05,74.019,76.483
"LOC107993878",27.588,21.018,25.387,58.971,56.228,57.564,21.639,29.336,29.711,35.378,28.662,28.031,18.558,15.716,18.261
"LOC107996885",85.794,81.134,85.294,59.054,61.001,60.724,38.578,39.96,38.803,22.801,24.685,27.621,35.553,38.298,34.49
"LOC107993627",0.772,1.568,0,0,0.529,0,5.762,9.287,10.927,9.24,3.176,6.355,5.944,11.057,12.406
"LOC107998398",6.802,6.415,6.907,1.237,2.664,4.154,6.416,9.643,8.67,11.63,7.994,12.234,8.55,12.336,8.815
"LOC108000272",14.107,12.896,13.637,0.18,0.774,0.402,0.81,0.679,1.736,1.228,0.497,0.683,1.396,2.388,1.463
"LOC114576784",0,0,0,0,0,0,0.32,1.006,0.686,9.1,3.604,4.86,0.613,0,0.578
"LOC107993682",0,0,0,1.227,0.881,2.289,18.693,16.103,16.344,3.379,3.273,3.319,8.952,13.108,10.992
"LOC107999898",0.485,1.642,1.838,42.301,40.999,40.654,35.641,41.03,37.403,52.5,47.118,40.86,36.624,40.623,40.056
"LOC108002106",243.127,238.846,254.263,258.834,260.015,259.346,225.798,221.298,227.986,241.135,222.013,223.116,182.882,199.023,185.884
"LOC107999506",9.098,7.542,8.696,41.614,43.44,43.436,22.937,21.008,23.489,12.8,16.777,17.369,20.128,21.65,21.142
"LOC107994269",0.218,0.442,0.464,0.971,0.299,0.31,0.25,0.262,0.134,0.118,0.256,0.422,0.24,0.425,0.339
"LOC108003115",0.797,0.405,1.132,0.761,0.273,0,5.031,3.593,3.431,6.5,3.511,3.857,4.161,4.149,2.477
"LOC108001995",38.626,38.01,39.467,521.085,524.596,460.962,368.717,410.936,418.954,514.183,480.243,506.779,465.99,427.514,475.573
"Trnav-cac_2",0,4.888,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107993948",67.078,61.857,63.425,139.676,144.796,141.465,91.939,94.327,91.373,95.968,87.197,88.915,73.38,82.714,78.575
"LOC108001321",0,0,0,0,0,0,0,0,0.487,0,0,0,0,0,0
"LOC107996360",0.517,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0
"LOC114578231",0,0,0,0,0,0.241,0.582,0.61,0.832,3.127,1.987,3.274,2.603,1.761,2.979
"LOC108000113",137.104,149.626,145.641,64.45,60.196,66.467,55.843,59.18,61.943,50.959,44.726,35.574,28.456,29.385,28.489
"KEH14_p04",1.331,4.055,6.62,29.651,22.802,17.063,13.751,0.8,3.275,2.172,7.819,12.242,7.317,6.064,4.828
"LOC108001733",82.509,80.538,83.837,24.751,25.783,26.398,24.452,30.038,28.362,26.445,25.891,24.081,21.3,20.201,24.001
"LOC107994302",1.227,1.324,1.472,8.983,7.516,8.959,9.246,8.532,10.004,6.507,7.21,5.718,7.211,7.089,7.831
"LOC107993786",10.912,8.784,8.196,113.137,113.335,113.835,51.072,43.221,53.851,34.052,41.261,43.97,56.727,61.931,56.144
"LOC107997485",55.198,52.501,52.609,48.564,44.029,42.544,58.489,71.985,59.445,69.067,73.429,65.73,54.087,49.821,49.035
"LOC107993380",0.545,0,0,3.126,4.113,5.44,1.253,0.328,0.168,0.593,1.122,0.528,1.2,1.42,0.99
"LOC107998722",0,0,0.579,11.676,11.313,14.081,5.732,4.657,4.639,8.535,6.825,7.104,8.067,10.347,6.971
"LOC108001024",2.58,1.209,1.693,14.026,15.1,16.543,8.09,8.356,8.427,9.717,7.581,7.304,11.786,11.111,9.568
"LOC107994563",34.999,27.05,34.431,32.781,24.861,25.659,31.163,34.323,28.874,42.358,39.944,39.054,25.942,26.419,23.271
"LOC107995102",354.993,340.334,362.886,8.292,7.679,7.072,55.219,48.971,53.522,1.04,0.749,0.926,2.704,2.312,2.172
"LOC107999284",231.127,233.954,223.213,78.971,80.139,84.537,47.991,41.14,45.978,11.039,10.029,11.192,9.533,9.274,8.568
"LOC107996766",0.75,0,0,0,0.343,0.534,0,0,0,0,0,0,0,0,0.259
"LOC108001910",1.959,1.071,2.196,0.672,1.24,1.986,0.908,0.363,0.696,1.025,1.594,0.876,1.119,1.668,2.07
"LOC108003277",96.602,98.362,99.438,26.678,23.696,26.121,41.834,45.433,44.837,40.334,40.492,44.694,67.397,63.272,66.611
"LOC107998787",0.425,1.294,2.113,21.094,19.216,19.972,11.706,13.796,9.671,11.322,16.225,13.78,11.679,12.444,14.092
"LOC107997280",4.134,4.432,4.081,5.557,5.038,5.481,24.065,25.209,22.542,44.041,42.379,42.093,74.64,74.311,78.338
"LOC108000694",0.477,0.377,0.301,24.7,27.646,24.392,38.493,41.28,40.963,23.699,26.193,28.075,24.918,23.393,23.462
"LOC108004421",0.837,0.972,1.956,0.229,0.246,0.256,0.069,0,0.074,0,0,0,0.132,0.234,0.062
"LOC114578160",0.391,0.397,0.185,0.912,0.625,0.371,1.57,1.88,2.164,4.393,3.674,6.37,12.176,11.193,14.044
"LOC107996662",0,0.207,0.145,0,0,0,0.234,0.368,0.251,0,0,0,0,0,0
"LOC107995248",25.078,19.776,20.405,22.691,19.792,14.694,17.052,18.954,17.667,23.606,17.744,13.902,8.801,8.164,6.329
"LOC108001753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107998558",274.859,286.542,287.587,35.116,23.552,29.632,55.807,59.821,53.693,36.645,39.319,37.872,41.02,42.677,46.637
"LOC107998626",4.305,4.888,2.88,0.161,0.868,0,0.872,0.609,0.623,0.964,0.149,1.84,5.71,5.771,5.251
"Trnan-guu_1",0,0,0,0,0,0,0,0,0,2.582,0,0,0,0,0
"LOC107994600",154.628,166.444,186.679,34.091,25.945,35.517,62.281,39.701,63.911,32.142,35.535,33.751,33.252,36.963,37.567
"LOC114577718",1.702,2.498,1.748,0,0.13,0.135,0.543,0.114,0.466,0.103,0,0,1.456,0.862,1.373
"LOC114578251",0,0.26,0,0.082,0,0,0,0,0,0.07,0.151,0,5.213,4.254,5.114
"LOC107998464",36.898,28.784,37.455,10.058,11.076,13.66,8.447,6.673,7.198,6.954,8.787,8.467,19.098,15.387,16.253
"LOC114577683",0,0,0,0.069,0,0,0,0,0.067,0.118,0,0.105,0.06,0,0
"LOC114577867",0.345,0,0,0.11,0.236,0.123,0,0.104,1.38,0.094,0.507,0.084,0.379,0.898,0.894
"LOC107993865",0.613,0.89,0.747,46.555,48.619,51.001,29.581,27.167,30.006,30.411,29.453,35.258,38.113,34.968,36.791
"LOC107992570",2.973,2.265,3.842,16.347,15.469,12.371,15.168,17.759,16.34,22.495,19.932,17.111,17.203,16.935,19.159
"LOC107996823",91.387,92.112,88.459,30.284,31.209,31.135,31.078,29.183,31.417,22.983,22.044,22.509,22.158,21.176,20.371
"LOC114577832",0.556,0.423,0,0.354,0.381,0.594,0.16,0.167,0.342,0.151,0.327,0.067,0.382,0.362,0.144
"LOC107998279",1.228,0,0,0,0,0.292,0,0,0,0,0,0.595,0,0,0.212
"LOC107994555",18.001,16.943,16.316,3.049,3.283,2.824,10.241,11.721,11.687,10.242,8.735,10.476,8.718,9.569,8.475
"LOC108003789",2.946,5.32,4.188,105.885,104.796,98.425,85.712,81.911,91.663,89.759,96.191,92.736,93.433,86.957,77.046
"LOC107997027",25.016,27.152,33.371,92.952,80.105,80.328,108.222,103.268,109.452,156.232,151.648,134.251,107.985,95.491,103.749
"LOC108003448",73.577,72.646,74.995,97.818,107.834,98.867,74.608,79.837,79.329,83.099,74.891,81.663,67.329,68.31,68.657
"LOC107996347",320.527,311.781,315.473,54.66,49.968,51.301,52.281,55.149,58.065,38.965,30.748,35.052,62.364,53.576,55.761
"LOC107997082",222.945,214.005,217.178,55.876,53.214,57.162,137.053,125.939,130.138,135.518,142.432,154.37,243.343,244.84,245.891
"LOC107996637",23.015,20.575,20.448,1.966,1.219,1.466,5.909,5.346,5.412,1.909,1.539,2.537,1.878,2.101,2.183
"LOC107997899",12.301,9.3,11.438,5.653,5.325,5.996,4.142,3.505,3.073,4.478,3.37,3.762,4.069,4.155,3.26
"LOC107994310",70.848,68.225,72.171,129.859,136.2,140.311,233.706,240.178,225.66,235.744,235.695,255.525,286.23,288.858,307.46
"LOC107995195",29.629,30.79,29.988,5.32,5.934,5.954,6.805,6.915,7.999,7.443,7.334,7.762,12.584,12.676,12.854
"LOC107999681",20.52,20.141,20.321,17.469,18.887,16.755,26.477,25.031,29.299,37.692,35.432,33.271,27.831,28.37,30.419
"LOC108001765",12.529,14.809,13.439,68.314,57.464,69.625,45.909,52.888,52.989,57.874,59.973,50.742,42.592,45.382,43.811
"LOC107996144",0,0,0,34.8,35.638,35.426,38.041,27.422,31.009,30.169,30.474,35.568,8.87,11.803,7.671
"LOC108004266",17.893,9.566,3.347,0,0.646,0.671,2.163,0.566,2.318,1.025,0.553,0.912,0,1.226,0.488
"LOC107992631",14.983,12.119,11.636,60.241,59.594,57.459,45.987,55.684,50.37,56.604,47.829,38.963,26.549,27.457,26.561
"LOC108000291",4.86,2.468,4.24,0,0.454,0.315,0.507,0.532,0.68,0,0.13,0,0.121,0.144,0
"LOC107996219",22.077,18.832,18.811,216.353,232.539,220.113,96.048,94.742,95.976,106.48,106.873,111.158,96.35,95.548,94.422
"LOC114578041",0.708,0.719,1.007,0,0,0,0,0,0,0,0.208,0,0.195,0.461,0.184
"LOC108004123",0.351,0.535,0.5,7.72,6.143,7.261,1.816,0.951,2.163,1.338,1.549,3.319,2.126,2.517,2.733
"LOC107995058",111.72,120.981,116.332,91.409,89.448,96.201,97.293,96.837,97.873,73.651,67.485,73.913,65.155,68.856,67.599
"LOC107993853",11.807,13.707,15.885,97.73,105.217,113.263,147.209,141.273,133.642,186.277,169.751,169.074,123.367,117.227,116.077
"LOC107995477",0,0,1.185,18.048,24.002,16.235,16.914,13.372,11.287,5.745,7.186,3.768,8.558,13.027,16.423
"LOC108003894",194.127,190.494,186.655,71.438,74.421,73.708,69.134,73.635,68.549,58.917,54.077,52.117,42.244,50.975,53.422
"LOC114577885",3.74,4.749,7.311,0,0,0,6.264,7.124,8.248,4.409,4.762,6.49,2.742,3.247,3.555
"LOC108002207",1.304,1.806,1.685,10.416,10.239,10.727,10.006,11.124,10.797,16.317,15.675,12.802,13.691,12.117,14.565
"LOC107993887",18.97,19.485,18.634,3088.238,3066.205,3185.059,499.93,442.424,495.81,188.428,209.308,211.38,58.841,60.919,55.8
"LOC107999780",10.973,11.825,11.794,82.304,82.463,87.901,74.528,89.098,75.513,90.051,81.863,74.129,60.268,63.162,55.773
"LOC108001279",8.9,6.826,11.619,16.884,17.679,15.14,20.335,26.218,22.801,39.326,30.953,23.131,25.869,23.295,23.162
"LOC107993663",0,0.045,0.127,5.009,5.791,6.115,16.247,11.588,15.322,9.484,9.667,8.961,13.692,13.911,13.325
"LOC108004140",47.177,44.182,44.963,31.333,32.804,33.957,27.31,33.562,27.959,38.103,32.222,32.368,32.709,32.544,33.094
"LOC107996625",41.528,44.292,38.865,108.631,100.584,107.748,60.804,58.908,55.585,52.528,51.861,46.588,42.059,43.935,46.107
"LOC107997035",2.543,3.445,2.009,46.242,53.658,47.918,34.074,45.553,38.607,59.342,52.479,37.769,37.142,41.58,31.35
"LOC107993822",4.368,9.613,3.881,2.318,2.495,2.593,0.836,0.438,0.896,0.792,0.214,0.176,0.2,0,0.189
"LOC108004152",2.825,1.913,2.205,26.382,27.872,27.39,20.197,17.093,18.613,23.145,20.574,24.464,30.89,30.655,31.1
"LOC107995524",900.608,886.595,884.426,575.957,552.927,561.192,609.925,521.191,576.545,515.082,517.074,572.313,382.564,358.948,376.908
"LOC107992730",263.032,265.925,269.304,153.564,150.914,154.798,218.729,210.284,233.415,195.581,243.254,276.305,211.078,194.063,211.588
"LOC107997784",266.68,252.04,257.032,3.297,3.55,3.689,43.608,36.078,42.223,9.625,12.68,3.134,3.322,34.556,34.898
"LOC114578056",8.736,6.786,5.297,0.654,1.057,0.915,5.606,5.409,3.479,5.032,3.926,3.608,2.402,1.673,1.332
"LOC107998765",27.704,23.277,29.659,22.43,20.632,21.688,19.246,30.447,27.994,29.957,27.135,19.378,20.69,21.377,22.695
"LOC107993500",1.597,1.145,1.269,10.83,10.403,9.942,4.721,5.68,5.609,8.18,6.71,6.12,5.814,6.179,4.701
"LOC107997467",59.459,52.382,53.68,9.689,9.562,10.139,16.989,18.645,19.423,19.776,18.631,21.356,18.519,17.062,15.12
"LOC108002111",0.288,0.293,0.102,0.092,0.494,0.103,2.566,1.647,0.798,6.195,6.522,6.003,3.567,2.628,4.259
"LOC107999511",0.133,0.404,0.566,7.942,8.824,10.4,4.495,3.193,4.981,6.281,8.89,8.097,18.901,19.18,19.4
"LOC114577360",6.816,9.693,10.659,5.787,2.18,3.885,2.348,3.28,5.313,4.203,5.875,3.961,6.997,3.254,5.654
"LOC114577996",0.813,1.653,1.388,3.004,1.784,2.202,0.654,1.761,0.901,0.354,0,0.394,0.089,0,0
"LOC107996840",42.708,42.279,42.576,54.233,56.94,52.519,34.255,33.925,34.561,29.01,30.983,32.775,53.11,48.856,49.878
"LOC114577657",5.758,2.925,0,64.162,84.867,90.258,66.126,62.344,46.067,34.46,25.38,36.25,39.583,74.98,59.703
"LOC107994701",242.045,263.181,258.885,26.232,30.068,28.721,103.086,102.327,97.809,90.717,79.732,79.114,61.72,61.508,53.395
"LOC107994768",281.319,276.232,278.137,100.755,95.751,88.942,102.638,104.581,99.185,88.001,73.478,69.627,62.849,74.788,67.551
"LOC108001722",239.909,212.168,213.391,155.47,155.885,160.658,102.11,104.311,101.835,104.91,102.349,101.644,91.002,82.837,85.404
"LOC107993655",1.478,1.251,1.663,8.625,9.159,10.089,5.586,3.629,4.168,4.154,4.957,4.86,10.53,11.104,10.852
"LOC107998024",26.644,29.996,26.198,748.568,763.296,767.235,500.517,481.314,528.382,352.716,380.363,398.573,350.924,376.136,365.34
"LOC108002649",30.099,34.855,34.659,15.14,17.538,15.011,12.616,17.38,17.967,16.047,17.335,14.721,11.752,16.265,14.355
"LOC108002413",186.471,189.413,170.467,24.49,20.55,23.911,36.158,34.362,38.87,20.207,26.371,22.186,37.742,39.404,40.074
"LOC114577499",25.937,28.604,34.238,1.887,4.064,2.112,7.659,12.035,15.961,6.45,6.968,7.177,18.746,14.474,13.062
"LOC107994817",0,0,0.172,0.615,0.91,0.516,0,0,0.074,0.131,0,0.117,0.266,0.236,0.438
"LOC108002339",1.865,1.895,3.093,2.375,4.688,2.658,16.242,14.584,16.643,27.396,29.959,29.353,31.454,29.547,24.655
"LOC107996852",248.002,243.503,249.43,97.811,90.417,97.468,87.864,85.232,84.551,57.232,62.469,67.964,112.313,109.531,110.299
"LOC114577009",36.448,34.845,35.939,1.194,1.102,1.273,7.591,6.609,6.652,0.68,0.577,0.779,0.197,0.116,0.278
"LOC108001787",150.899,151.576,144.797,193.76,262.622,213.23,160.289,196.653,194.495,152.329,149.77,160.758,138.767,166.468,159.496
"LOC107998910",2.168,1.652,1.541,47.284,43.103,44.8,33.303,24.453,35.026,30.67,33.767,30.974,26.531,19.41,28.944
"LOC108004061",3.601,4.389,4.479,321.205,335.321,350.058,54.789,42.342,47.088,37.906,33.117,36.704,26.633,20.63,25.947
"LOC108001558",28.591,29.733,25.644,149.101,175.455,196.426,16.416,12.693,13.405,11.481,11.201,11.867,21.713,17.728,13.763
"LOC108001626",0,0.218,0,0.137,0.147,0.153,0.37,0,0.264,0.234,0.126,0,0.236,0,0
"LOC107998753",9.144,8.01,8.766,12.606,11.732,12.791,18.353,17.661,17.863,3.971,3.846,4.834,1.569,1.802,1.653
"LOC107996970",16.155,16.172,16.267,30.859,30.534,27.399,17.342,18.695,17.975,15.954,16.408,15.76,28.841,31.135,28.554
"LOC108000909",4.67,4.494,4.368,4.226,4.044,3.152,2.964,3.696,3.933,2.675,2.745,4.285,7.57,9.602,7.901
"LOC108004498",12.974,15.131,12.637,13.156,12.517,9.244,17.658,18.498,15.081,19.345,20.614,24.432,16.912,20.648,16.441
"LOC114577513",0.212,0.215,0.603,2.296,1.018,0.756,0.244,0.255,0.522,0.692,0.748,0.719,0.35,1.657,0.33
"LOC108004008",244.912,248.637,227.935,131.775,129.423,139.574,220.733,248.72,248.759,319.655,302.62,295.237,309.683,317.391,327.883
"LOC108001464",0,0,0,0.743,0.4,0,0.335,0,0,0,0,0,0.321,0,0.302
"LOC114578246",2.8,4.064,3.128,7.642,7.405,8.551,5.513,5.053,4.432,8.488,10.11,9.493,7.92,8.595,11.407
"LOC107993179",0,0,0,0.094,0.05,0.262,1.564,1.063,1.224,0.24,0.13,0.25,0.486,0.479,0.687
"LOC108000096",244.884,233.022,240.501,184.522,178.398,171.631,172.527,176.71,174.59,156.704,165.486,153.284,135.12,132.708,139.535
"LOC108000406",214.131,216.973,206.559,147.59,153.473,137.719,380.204,463.951,401.654,675.001,627.493,568.772,658.682,718.171,661.938
"LOC114577347",0,0,0,0.557,0,0.312,0.753,1.052,1.346,0.714,0.257,2.33,0.241,1.424,0.907
"LOC108001398",33.444,27.709,30.81,38.901,31.891,31.283,32.506,31.804,28.63,27.241,26.462,23.162,24.865,21.531,22.471
"LOC108004218",49.703,48.854,44.819,14.131,13.942,13.345,32.975,34.618,31.652,22.6,23.069,19.339,26.585,29.3,29.804
"LOC107995814",2.84,2.601,4.104,6.315,6.735,7.199,7.299,7.366,8.51,1.697,2.216,2.074,4.558,3.456,3.838
"LOC107996832",0.203,0.344,0.385,0.259,0.186,0.241,0.272,0.571,0.375,0.332,0.159,0.131,0.633,0.441,0.386
"LOC108002359",8.918,7.045,5.986,13.88,13.584,17.296,23.611,18.773,22.561,18.597,25.33,18.233,25.61,28.384,19.776
"LOC107997063",5.234,3.272,2.289,2.948,2.898,3.585,3.467,2.785,3.097,2.081,4.259,2.827,2.657,1.835,3.026
"LOC107993512",0,0,0.081,0.219,0.393,0.245,0.132,0,0.353,0.935,0.269,0.444,0.63,0.97,0.594
"LOC107993345",0.054,0.165,0.077,3.169,2.262,2.043,1.864,1.66,1.831,1.472,1.526,1.336,6.516,7.644,6.479
"LOC107997440",25.782,25.176,27.235,100.217,87.975,81.289,68.374,65.456,67.847,58.506,68.976,67.183,64.232,67.79,67.122
"LOC107993635",36.857,35.401,38.293,61.981,63.724,55.431,51.328,62.663,49.296,71.069,54.674,52.716,43.48,40.3,44.878
"LOC108004364",5.243,4.184,6.211,0.715,0.599,0.623,0.645,0.15,0.23,0.068,0,0.181,0.275,0.65,0.388
"LOC114576899",0,0,0,0,0.302,0.942,0,0,0,0.48,0,0,0,0.287,0.457
"LOC107999444",1.641,2.001,0.7,39.505,44.781,48.649,18.849,18.166,12.929,3.215,7.717,7.154,4.333,5.771,3.063
"LOC107997452",13.649,11.418,19.688,33.484,33.022,36.61,29.273,27.526,30.88,32.977,32.792,27.215,15.674,20.125,18.105
"LOC114577637",0,0,0,0,0,0,0.498,1.043,0,0,0,0,0.477,0,0
"LOC107999821",10.146,14.478,11.848,2.153,0.828,1.377,1.942,1.598,1.933,0,0.284,0.117,0.133,0,0.125
"LOC114577144",0.41,1.25,0.583,1.829,3.375,3.216,3.299,1.481,2.778,1.563,2.412,3.577,4.062,6.946,4.042
"LOC107998995",21.694,21.52,20.178,44.784,43.51,40.513,29.681,33.437,29.413,34.439,35.857,30.244,26.47,26.427,25.173
"LOC108004167",70.715,65.243,71.005,41.879,41.912,40.702,32.802,40.955,34.206,43.427,33.573,27.365,22.246,20.607,23.772
"LOC107998733",400.679,409.259,403.377,48.4,47.269,41.963,82.24,108.023,97.071,47.037,43.024,35.499,32.177,33.245,27.775
"LOC107995488",127.717,124.806,126.305,18.128,16.906,18.038,28.646,27.199,28.945,25.734,24.704,26.047,36.238,36.007,36.937
"LOC107994775",0,0,0,58.208,62.475,61.144,44.774,57.766,44.456,102.516,78.901,71.726,80.146,78.751,77.221
"LOC107995749",343.445,328.85,344.323,6.489,2.329,5.083,26.527,25.132,29.268,1.848,4.192,2.468,13.638,13.27,13.384
"LOC107998321",0.522,0.796,0.186,0,0,0,0.15,0,0,0,0.153,0.506,0.144,0.85,0.406
"LOC108001538",3.179,3.302,3.235,0.046,0,0,3.941,3.303,3.334,8.097,7.09,8.641,26.142,27.798,26.442
"LOC114577219",1.436,1.458,2.041,0,0.328,0,0.275,0.288,1.472,0.521,0,0.232,0.526,0.935,0.744
"LOC108002293",66.364,73.381,71.077,46.227,44.5,43.675,67.54,54.274,66.824,50.172,52.444,51.795,50.616,46.621,52.683
"LOC108004132",12.762,12.037,10.583,1.548,2.812,1.191,7.328,6.671,8.695,5.538,5.536,5.739,15.123,14.046,11.42
"LOC107992750",93.493,93.436,91.977,65.649,67.384,64.932,48.92,63.887,54.229,43.48,38.272,38.473,29.283,26.262,28.289
"LOC114577766",0,0,0,0,0,0,0,0,0.581,0.514,0,0,0,0,0.49
"LOC108003176",36.702,36.721,33.608,2.105,2.72,2.552,4.841,3.348,4.205,3.298,3.822,4.403,5.607,5.776,5.657
"LOC107997055",760.601,766.401,762.027,517.006,518.551,526.895,433.443,381.339,414.271,284.286,314.153,324.84,274.7,266.376,255.994
"LOC107994998",8.046,10.164,8.946,77.572,71.988,79.598,35.065,41.697,39.106,34.852,34.677,29.723,28.762,30.962,29.734
"LOC107994527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107994582",0,0,0,1.478,1.591,1.102,0.222,0.465,0,7.156,4.092,5.995,8.297,4.282,3.61
"LOC107992742",0,0.269,0.754,4.644,2.818,1.134,3.959,3.589,2.938,2.741,2.104,3.917,3.063,3.022,2.2
"LOC107992808",113.003,109.609,110.972,0.312,0.403,0.419,8.948,10.493,8.203,1.866,1.901,1.851,14.337,17.611,14.429
"LOC108003288",0.919,1.679,1.306,6.2,6.8,7.461,2.004,5.304,3.957,1.699,1.835,2.402,1.212,2.033,1.905
"LOC107992861",80.983,75.16,80.47,20.232,21.844,18.37,58.905,45.652,51.68,44.748,51.913,54.559,78.585,71.284,81.281
"LOC108001573",0,0,0,1.252,1.22,0.934,0.484,0.338,0.634,0.306,0.55,0.318,1.03,0.671,0.68
"LOC107992596",1037.663,1042.234,1036.929,51.487,50.397,53.822,144.67,128.425,138.912,44.685,43.646,47.577,65.9,62.161,65.114
"LOC107996718",0,0.295,0,0.555,0,0,0,0.35,0,0,0,0.281,0.32,0.378,0.753
"LOC108002017",0,0,0,3.277,4.851,3.208,0.739,0.774,2.771,1.05,0,0,1.415,4.188,2.668
"LOC107997198",1.15,0.779,0.818,25.393,16.035,20.491,19.816,19.836,16.047,29.624,27.268,21.54,17.925,12.982,12.922
"LOC107998886",1.918,2.435,3.408,9.16,12.984,11.787,22.165,28.699,25.231,64.437,59.039,46.675,46.281,49.796,50.713
"LOC114577662",0,0,0,0,0.686,0,0.575,0,0,0,0,0,0,0,0
"LOC114577823",0,0,0,0,0,0,0,0,0,0.137,0,0.366,0,0,0.131
"LOC107992913",215.841,211.197,205.873,25.227,23.916,28.481,36.059,36.493,37.264,25.608,24.535,25.314,56.454,55.979,51.501
"LOC107996867",12.903,16.02,14.267,37.656,36.241,38.816,30.87,22.96,24.704,27.494,32.123,37.317,30.749,25.202,28.057
"LOC114578036",0,0,0,1.528,1.302,1.496,0.689,0.662,1.169,0.925,0.823,1.501,3.849,1.693,1.918
"LOC107998902",50.966,61.249,56.805,18.587,15.254,16.707,34.21,31.663,30.628,33.715,32.201,32.211,34.344,34.272,38.205
"LOC108000727",0,0,0,1.511,0.723,0.752,0,0.317,0,0.287,0,0.128,0,0,0
