"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC108003784",99.301,91.687,97.976,61.228,65.23,66.903,37.122,40.926,35.538,32.373,34.454,26.87,34.933,29.832,30.458
"LOC114578175",38.582,37.558,35.994,30.196,22.04,21.762,17.999,40.611,37.099,49.414,34.483,35.81,37.13,57.041,45.836
"LOC108002256",54.368,62.535,58.818,0.594,0.822,0.949,10.712,8.496,9.676,0.942,0.861,1.032,0.879,2.516,1.105
"LOC107996214",5.286,5.716,6.545,0.326,0.117,0.486,2.937,1.744,2.309,5.288,4.309,7.018,15.566,16.652,13.436
"LOC107993940",30.501,29.034,27.716,429.889,448.611,462.949,167.813,149.236,161.96,164.019,169.773,189.243,220.185,221.584,226.713
"LOC107995232",0,0,0,3.551,3.679,4.573,6.948,3.481,4.468,4.866,5.689,5.707,10.069,11.03,9.383
"LOC107998530",0.348,0.708,0.743,5.101,6.924,6.08,2.8,5.133,3.858,3.505,4.298,3.458,2.394,3.288,2.528
"LOC108003467",607.308,609.973,604.302,36.174,39.48,38.33,125.228,105,110.588,100.253,103.771,121.234,170.395,170.408,163.231
"LOC107993952",0,0,0,4.235,4.342,3.159,0,0.191,0.39,0,0.372,0,0,0,0.164
"LOC107996149",76.701,74.21,72,35.845,39.839,39.33,72.598,78.461,74.11,76.418,77.731,75.255,61.417,61.679,61.674
"LOC108000033",6.983,6.105,6.785,56.166,57.136,58.755,29.892,31.101,32.147,44.143,43.218,36.425,43.893,50.41,44.034
"LOC107996301",256.804,251.673,245.948,0.556,0.299,0.133,23.34,19.35,20.143,0.509,0.843,0.604,0.686,0.69,0.97
"LOC107993388",375.919,451.499,399.302,65.679,63.701,70.065,87.374,102.563,117.52,92.602,97.911,88.397,28.611,123.742,119.11
"LOC107994846",3.211,3.098,3.309,28.212,30.373,29.967,20.279,22.306,20.45,21.66,22.643,22.622,18.716,19.127,20.972
"LOC108000724",2.228,3.017,1.232,16.707,19.344,21.164,41.787,30.374,34.428,32.59,42.042,38.358,21.1,17.728,17.837
"LOC107996004",77.81,84.597,85.33,114.112,111.366,113.434,68.832,52.973,62.407,103.362,112.258,112.127,150.283,147.3,145.924
"LOC107997176",24.165,25.423,22.084,20.332,9.86,16.397,14.701,21.456,14.871,27.389,26.881,18.807,19.617,17.606,18.045
"LOC108003055",208.693,202.878,211.909,144.867,143.364,149.486,155.351,121.615,141.533,117.315,148.991,139.593,90.975,93.402,82.855
"LOC107996494",11.108,10.452,9.558,2.085,1.042,1.166,5.908,7.736,5.757,12.786,11.201,10.475,25.914,28.548,29.096
"LOC107996375",418.479,406.756,394.651,52.22,57.111,52.494,154.532,147.123,154.278,147.851,145.972,158.528,141.001,142.381,143.225
"LOC114578101",3.513,1.784,3.745,17.892,15.651,18.77,1.008,5.282,3.242,1.911,5.161,1.701,0.966,0,0
"LOC108001918",139.78,134.03,145.391,298.074,266.598,274.3,294.918,266.36,281.234,325.156,331.947,351.423,263.078,263.6,236.285
"LOC107997288",58.334,69.936,66.911,2.232,0.343,1.427,12.507,10.692,14.945,0.681,0.589,1.091,2.203,3.26,2.596
"LOC114577953",9.229,7.169,6.56,10.025,13.025,11.604,35.537,24.818,24.055,22.742,29.034,33.651,36.723,48.777,41.654
"LOC114578168",0.036,0.181,0.025,0.862,0.831,0.736,0.184,0.171,0.307,0.271,0.335,0.362,0.627,0.603,0.499
"LOC107998692",3.822,3.597,3.636,8.411,7.437,9.291,8.876,10.481,8.579,22.385,20.943,18.89,11.746,11.967,11.306
"LOC114577581",0,0,0,3.125,2.872,3.071,7.355,6.697,7.662,10.942,8.091,7.768,15.603,16.446,17.812
"LOC107999815",0,0,0,0,0,0,0,0,0.439,0.194,0,0.173,0,0.232,0
"LOC107994661",6.844,7.945,9.556,10.739,8.713,7.663,14.597,15.585,14.441,20.612,19.249,15.98,13.174,11.936,14.699
"LOC108000053",0.993,1.211,0.989,7.59,6.537,7.785,6.16,6.573,5.38,10.268,8.99,6.254,13.002,11.641,10.608
"LOC107993932",0,0.544,0,98.529,111.583,106.819,71.02,42.835,59.642,118.852,139.086,153.241,275.616,263.201,267.867
"LOC107995240",49.299,48.904,37.505,22.561,15.577,11.8,40.028,57.916,49.774,55.107,47.08,35.81,43.42,41.375,31.946
"LOC107998550",43.907,37.033,49.236,48.747,49.004,50.707,23.117,23.835,22.533,24.059,23.475,21.262,20.485,19.917,20.707
"LOC114577710",0,0.325,0,1.323,2.191,1.822,1.652,1.73,2.262,13.041,14.463,12.072,63.364,53.375,55.672
"LOC108003198",164.797,154.052,177.423,27.736,31.757,29.394,70.272,66.544,61.416,79.247,66.642,71.208,166.803,164.314,151.506
"LOC107994608",0.272,0.552,0.386,37.266,36.332,35.761,4.422,3.924,4.182,0.936,0.852,0.877,0.747,0.354,0.939
"LOC114578217",0.726,0,0.516,1.078,1.492,2.068,0.139,1.019,0.744,0.395,0.427,0.469,0.532,0.787,0.376
"LOC107994976",41.583,40.522,49.742,77.923,78.33,76.596,62.311,49.413,49.724,66.396,79.273,73.67,47.409,54.806,56.609
"LOC107998796",7.398,8.612,5.376,9.209,10.199,10.423,6.968,6.299,6.701,14.515,19.783,19.32,23.997,25.542,23.01
"LOC107995252",890.233,948.537,909.377,274.006,291.11,287.045,260.118,267.461,251.241,185.25,196.254,180.789,192.839,204.596,190.139
"LOC108001803",1.885,3.094,1.959,10.342,15.409,13.123,10.492,11.776,12.763,10.809,11.165,14.748,19.859,20.773,16.616
"LOC108000462",52.34,53.273,54.188,29.757,32.979,31.339,40.252,34.598,31.429,29.51,31.691,35.023,33.958,32.217,33.985
"LOC107998315",23.234,25.837,21.915,62.889,58.875,57.897,38.187,30.334,32.526,21.865,25.561,26.554,30.459,28.246,26.772
"LOC107994479",0.948,0.428,0.375,67.102,68.847,68.103,66.865,77.969,70.692,86.345,80.143,68.436,58.072,56.675,56.491
"LOC107998542",11.515,10.806,14.367,45.942,41.697,42.981,43.945,65.72,51.143,102.373,78.922,67.85,48.214,45.143,45.71
"LOC108002236",31.933,57.387,45.045,74.759,84.527,71.403,48.235,59.689,49.279,67.618,46.771,46.39,26.206,27.187,28.779
